run_id,exported_at,cluster,flow,tool_name,status,iac_task_id,task_elapsed_seconds,module_elapsed_seconds,total_count,area_count,building_count,floor_count,device_count,role_counts,size_bytes,latest_file,history_file,error
2026-06-22_11-13-53,2026-06-22T04:43:16Z,LAB,site,site_config,completed,ce5d479d-1050-4fa9-b1d5-b9e1911f0873,1758.890,,1767,29,522,1216,,,452200,data/lab/latest/site_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/site_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T04:48:40Z,LAB,network_settings,network_settings_config,completed,cb8992ad-cdf3-4984-b910-f2d4d5784311,324.453,,4,,,,,,50031,data/lab/latest/network_settings_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/network_settings_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T04:50:42Z,LAB,tags,tags_config,completed,ee60499d-1a3c-4e28-87d3-702400631781,121.391,,2,,,,,,4578,data/lab/latest/tags_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/tags_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:27:38Z,LAB,inventory,inventory_config,completed,f8af3123-99a5-43b6-b24d-e950cbb6ad2c,2215.969,,5853,,,,5853,"{""ACCESS"": 5417, ""BORDER ROUTER"": 1, ""CORE"": 3, ""DISTRIBUTION"": 5, ""UNKNOWN"": 427}",295217,data/lab/latest/inventory_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/inventory_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:31:06Z,LAB,discovery,discovery_config,completed,a5d352ad-aa8e-4b21-9728-5965539fec1a,208.000,,105,,,,,,53286,data/lab/latest/discovery_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/discovery_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:34:06Z,LAB,template,template_config,completed,d2bbcca0-4ab4-4c52-aa18-44a084e5f477,179.718,,120,,,,,,401245,data/lab/latest/template_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/template_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:34:40Z,LAB,pnp,pnp_config,completed,b97b032e-9003-497d-bc30-bfc1a06ef747,34.610,,1,,,,,,5276,data/lab/latest/pnp_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/pnp_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:37:34Z,LAB,wireless_design,wireless_design_config,failed,d7b91d28-939c-491f-8d4d-b8df712d54ae,173.890,,,,,,,,,,,"{""iacTaskId"":""d7b91d28-939c-491f-8d4d-b8df712d54ae"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""toolName"":""wireless_design_config"",""moduleName"":""wireless_design_playbook_config_generator"",""catalystCenter"":""LAB"",""iacCreatedAt"":""2026-06-22T05:34:40.888359+00:00"",""iacLastUpdatedAt"":""2026-06-22T05:37:23.202318+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""destructive"":false} | failed | Workflow failed with status=failed rc=2 | {""iacTaskId"":""d7b91d28-939c-491f-8d4d-b8df712d54ae"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""iacCreatedAt"":""2026-06-22T05:34:40.888359+00:00"",""iacLastUpdatedAt"":""2026-06-22T05:37:23.202318+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""iacArtifactDir"":""/auto/cat-sol/ws/thievo/catalyst_center_iac_mcpserver/artifacts/d7b91d28-939c-491f-8d4d-b8df712d54ae"",""iacRunnerIdent"":""d7b91d28-939c-491f-8d4d-b8df712d54ae"",""toolName"":""wireless_design_config"",""moduleName"":""wireless_design_playbook_config_ge | No generated YAML found in task detail"
2026-06-22_11-13-53,2026-06-22T05:42:15Z,LAB,network_profile_switching,network_profile_switching_config,completed,36637e1a-9d66-464a-beee-b218359c7bf8,281.047,,10,,,,,,2324,data/lab/latest/network_profile_switching_playbook_config.yml,data/lab/history/2026-06-22_11-13-53/network_profile_switching_playbook_config.yml,
2026-06-22_11-13-53,2026-06-22T05:46:13Z,LAB,network_profile_wireless,network_profile_wireless_config,failed,fcfe3b13-5963-43f3-a7e3-09f2dbec8d6a,237.828,,,,,,,,,,,"{""iacTaskId"":""fcfe3b13-5963-43f3-a7e3-09f2dbec8d6a"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""toolName"":""network_profile_wireless_config"",""moduleName"":""network_profile_wireless_playbook_config_generator"",""catalystCenter"":""LAB"",""iacCreatedAt"":""2026-06-22T05:42:15.829473+00:00"",""iacLastUpdatedAt"":""2026-06-22T05:46:09.656440+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""destructive"":false} | failed | Workflow failed with status=failed rc=2 | {""iacTaskId"":""fcfe3b13-5963-43f3-a7e3-09f2dbec8d6a"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""iacCreatedAt"":""2026-06-22T05:42:15.829473+00:00"",""iacLastUpdatedAt"":""2026-06-22T05:46:09.656440+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""iacArtifactDir"":""/auto/cat-sol/ws/thievo/catalyst_center_iac_mcpserver/artifacts/fcfe3b13-5963-43f3-a7e3-09f2dbec8d6a"",""iacRunnerIdent"":""fcfe3b13-5963-43f3-a7e3-09f2dbec8d6a"",""toolName"":""network_profile_wireless_config"",""moduleName"":""network | No generated YAML found in task detail"
