run_id,exported_at,cluster,flow,tool_name,status,iac_task_id,task_elapsed_seconds,module_elapsed_seconds,total_count,area_count,building_count,floor_count,device_count,role_counts,size_bytes,latest_file,history_file,error
2026-06-19_02-19-24,2026-06-18T21:02:46Z,LAB-240,assurance_issue,assurance_issue_config,completed,ba52502c-ee52-4fa7-807e-5906566b1664,34.344,,1,,,,,,928,data/lab/latest/assurance_issue_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/assurance_issue_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:04:03Z,LAB-240,assurance_device_health_score_settings,assurance_device_health_score_settings_config,completed,42660899-e2c4-4c32-896a-ecee0b77078b,77.672,,1,,,,,,15519,data/lab/latest/assurance_device_health_score_settings_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/assurance_device_health_score_settings_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:14:07Z,LAB-240,events_and_notifications,events_and_notifications_config,failed,945921c5-f221-4a8f-9221-a1e6f838b5fb,603.938,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T21:14:42Z,LAB-240,backup_and_restore,backup_and_restore_config,completed,4bc1e4be-60b2-43a9-99c7-836d4d1b9c0d,34.359,,2,,,,,,1209,data/lab/latest/backup_and_restore_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/backup_and_restore_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:24:44Z,LAB-240,sda_fabric_devices,sda_fabric_devices_config,failed,c5ca9337-2018-4d31-a5d4-efc9bf3435a7,602.609,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T21:27:51Z,LAB-240,sda_fabric_sites_zones,sda_fabric_sites_zones_config,completed,565d5e8c-a66a-4e16-941f-90e1c27422e0,187.047,,1,,,,,,81247,data/lab/latest/sda_fabric_sites_zones_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/sda_fabric_sites_zones_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:32:00Z,LAB-240,sda_fabric_transits,sda_fabric_transits_config,completed,03477c6a-e8b5-4fb1-9e58-76350de0d2cd,248.703,,1,,,,,,2386,data/lab/latest/sda_fabric_transits_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/sda_fabric_transits_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:36:55Z,LAB-240,sda_fabric_virtual_networks,sda_fabric_virtual_networks_config,completed,cef08e05-8797-4174-81c6-50b26fa7deda,294.812,,3,,,,,,115368,data/lab/latest/sda_fabric_virtual_networks_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/sda_fabric_virtual_networks_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:46:57Z,LAB-240,sda_fabric_multicast,sda_fabric_multicast_config,failed,3bd8b167-4cb0-4e5b-aac0-2afd09ebc481,602.453,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T21:48:04Z,LAB-240,sda_extranet_policies,sda_extranet_policies_config,failed,6fa087b8-e211-4f16-b05b-9399544c4f7a,66.563,,,,,,,,,,,"{""iacTaskId"":""6fa087b8-e211-4f16-b05b-9399544c4f7a"",""iacStatus"":""completed"",""iacStatusMessage"":""Workflow completed successfully"",""iacCreatedAt"":""2026-06-18T21:46:58.750503+00:00"",""iacLastUpdatedAt"":""2026-06-18T21:47:54.121040+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""iacArtifactDir"":""/auto/cat-sol/ws/thievo/catalyst_center_iac_mcpserver/artifacts/6fa087b8-e211-4f16-b05b-9399544c4f7a"",""iacRunnerIdent"":""6fa087b8-e211-4f16-b05b-9399544c4f7a"",""toolName"":""sda_extranet_policies_config"",""moduleName"":""sda_extranet_policies_playbook_config_generator"",""catalystCenter"":""LAB-240"",""result"":{""changed"":false,""diff"":[],""failed"":false,""msg"":{""components_attempted"":1,""components_processed"":0,""components_skipped"":0,""message"":""No configurations found for module 'sda_extranet_policies_workflow_manager'. Verify filters and component availability. Components attempted: ['extranet_policies']"",""status"":""ok""},""response"":{""components_attempted"":1,""components_processed"":0,""components_skipped"":0,""message"":""No c | No generated YAML found in task detail"
2026-06-19_02-19-24,2026-06-18T21:55:07Z,LAB-240,sda_host_port_onboarding,sda_host_port_onboarding_config,completed,728900ef-28d9-4ca9-b5a8-6766cab9ea5a,423.031,,39,,,,,,97880,data/lab/latest/sda_host_port_onboarding_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/sda_host_port_onboarding_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T21:58:22Z,LAB-240,wired_campus_automation,wired_campus_automation_config,failed,8e1fdb0e-42bd-4bd6-bd01-96150c0cd2f8,195.156,,,,,,,,,,,"{""iacTaskId"":""8e1fdb0e-42bd-4bd6-bd01-96150c0cd2f8"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""toolName"":""wired_campus_automation_config"",""moduleName"":""wired_campus_automation_playbook_config_generator"",""catalystCenter"":""LAB-240"",""iacCreatedAt"":""2026-06-18T21:55:08.368173+00:00"",""iacLastUpdatedAt"":""2026-06-18T21:58:16.159364+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""destructive"":false} | failed | Workflow failed with status=failed rc=2 | {""iacTaskId"":""8e1fdb0e-42bd-4bd6-bd01-96150c0cd2f8"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""iacCreatedAt"":""2026-06-18T21:55:08.368173+00:00"",""iacLastUpdatedAt"":""2026-06-18T21:58:16.159364+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""iacArtifactDir"":""/auto/cat-sol/ws/thievo/catalyst_center_iac_mcpserver/artifacts/8e1fdb0e-42bd-4bd6-bd01-96150c0cd2f8"",""iacRunnerIdent"":""8e1fdb0e-42bd-4bd6-bd01-96150c0cd2f8"",""toolName"":""wired_campus_automation_config"",""moduleName"":""wired_ | No generated YAML found in task detail"
2026-06-19_02-19-24,2026-06-18T21:58:57Z,LAB-240,rma,rma_config,completed,5a5cf61e-618f-4c24-af4d-2998faf486ed,34.407,,1,,,,,,693,data/lab/latest/rma_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/rma_playbook_config.yml,
